,URL_UOL_News
1,https://uol.de/aktuelles/artikel/digitale-frachtpapiere-und-quantenbiologie-4637
2,https://uol.de/aktuelles/artikel/demokratisches-defizit-das-parlament-in-der-pandemie-4605
3,https://uol.de/aktuelles/artikel/kurze-clips-ueber-neue-buecher-4597
4,https://uol.de/aktuelles/artikel/hoerwahrnehmung-besser-verstehen-durch-virtuelle-realitaet-4587
5,https://uol.de/aktuelles/artikel/puzzlearbeit-mit-staubpartikeln-4556
6,https://uol.de/aktuelles/artikel/literaturgeschichte-neu-erzaehlen-4550
7,https://uol.de/aktuelles/artikel/unter-guten-nachbarn-4526
8,https://uol.de/aktuelles/artikel/dem-meer-auf-den-grund-gehen-10281
9,https://uol.de/aktuelles/artikel/studentische-forschung-im-bundestag-und-in-bruessel-10088
10,https://uol.de/aktuelles/artikel/wie-physikunterricht-zum-erlebnis-wird-12462
